event_id,dataset_type,is_demo,latitude,longitude,acquisition_datetime,satellite,instrument,frp,brightness_temperature_k,firms_confidence,scan_km,track_km,day_night,nearest_facility_type,nearest_facility_distance_m,industrial_context_score,nearest_water_distance_m,dw_water,dw_trees,dw_grass,dw_flooded_vegetation,dw_crops,dw_shrub_scrub,dw_built,dw_bare,dw_snow_ice,dw_dominant_class,dw_confidence,detections_24h,detections_3d,detections_7d,active_days,persistence_duration_days,mean_frp,max_frp,target_class
demo_000645,synthetic_demo,True,23.146207,86.239886,2026-06-03T15:37:00,MODIS,MODIS,149.517,334.459,96.22,0.37,1.291,D,water,114.94,0.7924,1052.68,0.088158,0.061712,0.017025,0.005713,0.000121,0.001354,0.744322,0.081551,4.4e-05,built,0.744322,134,243,627,606,606,109.547,156.273,Persistent Thermal Source
demo_000011,synthetic_demo,True,19.234851,74.68002,2026-04-02T18:52:00,VIIRS,VIIRS,31.034,339.248,93.84,0.434,0.429,D,forest,151.56,0.9552,1179.88,0.158622,0.009026,0.059424,1e-05,1.4e-05,3e-05,0.652381,0.120485,7e-06,built,0.652381,4,8,10,10,10,30.974,45.541,Industrial Fire
demo_000049,synthetic_demo,True,17.965591,72.506528,2026-03-11T19:45:00,VIIRS,MODIS,99.382,310.561,91.56,1.408,0.93,D,forest,160.52,0.9358,2403.12,0.149743,0.005094,0.00341,0.004973,0.095017,0.010028,0.51348,0.191802,0.026452,built,0.51348,3,4,13,12,12,69.621,99.382,Industrial Fire
demo_000342,synthetic_demo,True,22.311951,75.556543,2026-01-27T07:56:00,MODIS,MODIS,215.742,355.971,88.37,1.553,0.704,N,farm,1379.58,0.0977,1269.54,0.144429,0.397947,0.04396,0.002283,0.063856,0.279924,0.038227,0.029372,0.0,trees,0.397947,1,2,4,3,3,212.375,380.136,Wildfire / Natural Fire
demo_000309,synthetic_demo,True,23.16584,78.542678,2026-05-25T21:57:00,MODIS,MODIS,142.557,351.658,90.57,0.732,0.581,D,industrial,4228.11,0.1128,808.46,0.07535,0.340034,0.159682,0.098138,0.062858,0.210987,1.9e-05,0.052932,0.0,trees,0.340034,1,2,5,5,5,134.555,222.209,Wildfire / Natural Fire
demo_000318,synthetic_demo,True,21.657646,76.851865,2026-05-11T06:54:00,VIIRS,VIIRS,54.853,339.199,83.64,1.414,0.444,D,warehouse,1856.24,0.0635,723.43,0.004323,0.603572,0.062122,0.094269,0.034348,0.127214,3.3e-05,0.07412,0.0,trees,0.603572,1,1,1,1,1,40.283,60.859,Wildfire / Natural Fire
demo_000378,synthetic_demo,True,24.531724,79.502805,2026-07-11T04:33:00,VIIRS,VIIRS,151.201,351.584,97.73,0.677,1.971,D,farm,3620.35,0.1343,409.47,0.065312,0.569606,0.067601,0.004163,0.026408,0.228624,0.033658,0.004628,0.0,trees,0.569606,2,4,12,11,11,140.672,212.424,Wildfire / Natural Fire
demo_000089,synthetic_demo,True,18.10799,73.307592,2026-07-03T08:13:00,VIIRS,MODIS,50.476,333.344,70.73,0.55,1.015,D,farm,108.14,0.8709,500.6,0.058213,0.28274,0.039763,0.001319,0.012009,0.000287,0.501226,0.104442,0.0,built,0.501226,4,7,27,21,21,35.913,50.476,Industrial Fire
demo_000195,synthetic_demo,True,19.248257,73.043126,2026-03-12T23:05:00,VIIRS,VIIRS,45.28,333.93,87.45,1.495,1.576,D,forest,123.45,0.9175,119.4,0.105709,0.070586,0.252413,0.018491,0.052444,0.000885,0.486668,0.012701,0.000102,built,0.486668,3,5,7,8,8,35.859,50.798,Industrial Fire
demo_000022,synthetic_demo,True,18.321404,73.210072,2026-03-29T02:57:00,VIIRS,VIIRS,114.202,358.621,89.37,1.088,2.076,D,industrial,639.77,0.6519,2374.61,0.287048,0.05014,0.016854,0.013542,0.103287,0.005858,0.450193,0.073078,0.0,built,0.450193,2,3,6,7,7,115.692,130.807,Industrial Fire
demo_000121,synthetic_demo,True,20.138595,72.262954,2026-04-08T10:25:00,MODIS,VIIRS,119.327,339.197,80.8,0.382,1.956,D,none,183.78,0.8429,701.69,0.211653,0.081373,0.037731,0.000102,0.015433,0.018005,0.447913,0.187786,3e-06,built,0.447913,3,7,21,16,16,88.718,140.844,Industrial Fire
demo_000899,synthetic_demo,True,23.806337,73.386306,2026-05-03T13:16:00,MODIS,VIIRS,15.149,311.985,53.33,0.482,0.833,N,industrial,3151.11,0.0206,1163.4,0.007867,0.043314,0.01565,0.091975,0.014836,0.074536,0.01116,0.740661,0.0,bare,0.740661,2,5,17,13,13,12.78,16.698,Unknown / Other
demo_000016,synthetic_demo,True,17.621867,71.206283,2026-01-24T17:57:00,MODIS,MODIS,88.047,348.258,74.24,1.761,1.178,D,forest,341.07,0.7556,415.41,0.063592,0.006695,0.036709,0.003799,0.004248,0.005345,0.79277,0.042152,0.044689,built,0.79277,2,6,13,14,14,83.677,142.463,Industrial Fire
demo_000997,synthetic_demo,True,25.352488,70.054925,2026-06-08T22:41:00,MODIS,VIIRS,12.203,322.464,58.62,0.711,0.784,N,farm,1207.17,0.0465,1399.35,0.030001,0.039161,0.070851,0.04097,0.002442,0.083486,0.035791,0.697299,0.0,bare,0.697299,1,1,1,1,1,10.674,15.893,Unknown / Other
demo_000716,synthetic_demo,True,23.278248,89.303393,2026-01-04T04:24:00,VIIRS,MODIS,100.409,331.962,81.28,1.358,1.966,D,none,252.73,0.6255,2122.74,0.005025,0.028944,0.017924,0.004288,0.001387,0.003315,0.827574,0.101237,0.010305,built,0.827574,125,275,299,392,392,80.055,100.409,Persistent Thermal Source
demo_000174,synthetic_demo,True,20.136539,74.060861,2026-01-17T13:08:00,MODIS,VIIRS,104.669,339.318,82.92,1.525,1.437,D,none,57.67,0.8647,1635.24,0.088329,0.080725,0.019923,0.007718,0.084162,0.001748,0.699073,0.01832,2e-06,built,0.699073,4,11,32,29,29,83.651,115.573,Industrial Fire
demo_000245,synthetic_demo,True,22.906433,79.173005,2026-08-21T01:23:00,VIIRS,VIIRS,117.474,331.596,69.82,1.506,0.827,D,none,1334.33,0.106,917.52,0.106857,0.542844,0.050586,0.072778,0.002898,0.157441,0.000624,0.065971,0.0,trees,0.542844,3,4,14,11,11,89.159,126.583,Wildfire / Natural Fire
demo_000903,synthetic_demo,True,23.956313,71.6121,2026-03-12T16:23:00,VIIRS,VIIRS,8.727,332.955,38.8,1.582,0.473,D,farm,2775.11,0.0724,140.77,0.072404,0.068146,0.064609,0.018077,0.041951,0.263966,0.061666,0.40917,1.2e-05,bare,0.40917,1,1,1,1,1,8.577,15.01,Unknown / Other
demo_000630,synthetic_demo,True,24.043748,87.171532,2026-02-23T16:12:00,MODIS,MODIS,75.067,335.418,86.31,1.088,1.341,N,water,178.6,0.8363,1181.68,0.004077,0.041185,0.033681,0.000367,1.4e-05,0.014044,0.723042,0.182089,0.001499,built,0.723042,134,185,731,549,549,61.314,86.481,Persistent Thermal Source
demo_000142,synthetic_demo,True,18.142333,72.151406,2026-02-15T10:00:00,MODIS,MODIS,91.413,338.558,93.44,1.051,1.334,D,farm,203.7,0.8502,345.69,0.101666,0.003174,0.0117,0.012011,0.033969,3e-06,0.6731,0.162812,0.001565,built,0.6731,1,2,3,4,4,95.853,105.456,Industrial Fire
demo_000863,synthetic_demo,True,26.920549,73.079326,2026-04-15T02:29:00,VIIRS,MODIS,34.049,299.718,71.55,1.282,2.197,D,forest,7165.15,0.0076,1568.83,0.139821,0.100315,0.068486,0.000303,0.010875,0.053246,0.047773,0.549513,0.029667,bare,0.549513,1,3,6,6,6,24.448,43.481,Unknown / Other
demo_000594,synthetic_demo,True,28.822264,75.090966,2026-05-26T02:29:00,MODIS,MODIS,13.712,319.875,89.5,0.493,0.878,D,industrial,305.73,0.1812,156.72,0.054314,0.025246,0.017895,0.000767,0.661705,0.048528,0.007943,0.183602,0.0,crops,0.661705,1,1,1,1,1,9.618,15.377,Agricultural Fire
demo_000702,synthetic_demo,True,22.78208,85.514389,2026-08-21T21:37:00,MODIS,MODIS,117.471,340.347,92.89,1.297,1.78,D,farm,84.74,0.9345,294.74,0.011353,0.020117,0.054966,0.000578,0.016088,0.00407,0.675914,0.216913,0.0,built,0.675914,102,239,239,313,313,114.71,129.305,Persistent Thermal Source
demo_000120,synthetic_demo,True,17.756765,73.599073,2026-04-11T01:22:00,MODIS,MODIS,78.699,337.591,96.34,1.765,0.451,D,forest,240.03,0.957,453.49,0.056839,0.039806,0.04489,0.022587,0.002481,0.019062,0.430645,0.38369,1e-06,built,0.430645,4,9,20,23,23,72.551,87.577,Industrial Fire
demo_000727,synthetic_demo,True,21.837628,87.713467,2026-04-30T01:19:00,VIIRS,VIIRS,64.802,347.099,97.06,1.667,0.531,D,farm,281.91,0.8493,1024.22,0.009395,0.002127,0.092705,0.000393,0.008372,0.0,0.652312,0.234696,0.0,built,0.652312,21,54,132,123,123,54.83,97.809,Persistent Thermal Source
demo_000484,synthetic_demo,True,30.426114,74.15539,2026-06-23T06:26:00,MODIS,VIIRS,30.247,328.378,90.78,0.588,0.469,D,farm,1290.73,0.1805,1153.2,0.004252,0.006251,0.009101,0.003019,0.551025,0.091687,0.215322,0.079149,0.040194,crops,0.551025,1,1,3,3,3,22.729,34.157,Agricultural Fire
demo_000458,synthetic_demo,True,31.880343,75.337971,2026-04-05T22:38:00,MODIS,MODIS,29.142,329.029,67.83,1.161,2.058,D,industrial,587.77,0.2212,671.21,0.094746,0.014908,0.093158,4.5e-05,0.577852,0.102179,0.031999,0.08509,2.2e-05,crops,0.577852,1,2,3,4,4,28.757,38.051,Agricultural Fire
demo_000806,synthetic_demo,True,26.711277,70.16506,2026-07-24T09:03:00,VIIRS,MODIS,13.369,309.815,79.15,1.366,1.156,D,none,4610.24,0.2163,584.28,0.043594,0.354123,0.049544,0.005613,0.004386,0.049158,0.011196,0.482387,0.0,bare,0.482387,2,11,12,11,11,12.081,15.876,Unknown / Other
demo_000391,synthetic_demo,True,21.285271,79.806651,2026-03-29T01:54:00,VIIRS,VIIRS,53.07,345.893,92.34,0.903,1.892,D,warehouse,3219.48,0.0426,607.89,0.001033,0.687667,0.212521,0.000567,0.011551,0.067993,0.007544,0.010509,0.000615,trees,0.687667,3,3,9,7,7,37.228,64.582,Wildfire / Natural Fire
demo_000531,synthetic_demo,True,29.99828,74.618983,2026-07-02T12:38:00,MODIS,VIIRS,86.721,334.595,72.07,0.467,1.417,D,none,427.09,0.3392,283.34,0.042923,0.026267,0.14631,0.011776,0.42568,0.035314,0.227763,0.078864,0.005103,crops,0.42568,1,4,4,4,4,70.59,86.721,Agricultural Fire
demo_000556,synthetic_demo,True,29.971949,75.330948,2026-07-22T02:34:00,MODIS,VIIRS,43.94,340.869,62.64,1.027,1.745,D,industrial,251.8,0.2685,723.73,0.040896,0.186889,0.016521,0.011998,0.589408,0.051854,0.056595,0.045838,0.0,crops,0.589408,1,1,4,3,3,42.325,51.359,Agricultural Fire
demo_000926,synthetic_demo,True,27.436293,68.717602,2026-07-06T21:00:00,MODIS,VIIRS,7.356,319.763,56.37,0.827,1.695,D,none,1730.72,0.1659,367.23,0.090936,0.089239,0.044743,0.000269,0.128112,0.054791,0.071258,0.52065,0.0,bare,0.52065,1,1,1,1,1,7.49,10.331,Unknown / Other
demo_000004,synthetic_demo,True,20.113197,71.457933,2026-02-07T02:09:00,VIIRS,VIIRS,47.137,330.86,71.95,0.374,1.951,N,forest,120.26,0.7225,550.74,0.032069,0.002443,0.053592,0.000213,0.027604,0.008093,0.732079,0.143691,0.000216,built,0.732079,2,4,10,12,12,36.887,64.861,Industrial Fire
demo_000399,synthetic_demo,True,23.62429,77.637638,2026-01-15T13:25:00,VIIRS,MODIS,264.451,349.71,96.76,1.747,0.518,D,industrial,1326.26,0.0621,233.67,0.076043,0.217511,0.173978,0.082689,0.040641,0.193218,0.034235,0.181685,0.0,trees,0.217511,1,2,5,4,4,265.358,405.706,Wildfire / Natural Fire
demo_000054,synthetic_demo,True,19.114905,73.076444,2026-07-28T11:44:00,MODIS,VIIRS,48.6,340.197,74.1,0.873,2.079,N,industrial,189.18,0.7538,380.75,0.167095,0.019723,0.062188,0.000578,0.008711,0.00107,0.561854,0.17878,0.0,built,0.561854,3,6,7,9,9,44.277,51.612,Industrial Fire
demo_000128,synthetic_demo,True,20.183791,70.518074,2026-04-09T19:46:00,MODIS,MODIS,57.782,347.42,71.63,0.453,1.439,N,forest,296.22,0.803,288.56,0.123689,0.091483,0.081282,0.020265,0.053497,0.018738,0.378854,0.215114,0.017078,built,0.378854,3,5,14,14,14,43.482,57.782,Industrial Fire
demo_000595,synthetic_demo,True,29.740802,78.904296,2026-02-21T13:01:00,MODIS,VIIRS,10.314,323.735,75.73,1.228,2.005,N,water,1772.2,0.1653,956.86,0.142295,0.11444,0.052155,0.001375,0.366913,0.103967,0.025744,0.19311,0.0,crops,,1,1,1,2,2,9.716,15.603,Agricultural Fire
demo_000353,synthetic_demo,True,20.380933,76.673265,2026-08-20T11:15:00,VIIRS,VIIRS,127.396,322.229,73.01,1.394,1.779,D,forest,3001.68,0.0082,851.7,0.078783,0.686364,0.117409,0.000105,0.038414,0.072552,0.002859,0.002727,0.000786,trees,0.686364,1,4,7,8,8,110.565,181.613,Wildfire / Natural Fire
demo_000249,synthetic_demo,True,23.982726,77.075175,2026-05-29T23:39:00,VIIRS,VIIRS,164.041,360.136,94.59,1.096,0.384,D,,2477.07,0.0994,1829.06,0.032317,0.552022,0.062316,0.089826,0.019498,0.180836,0.058855,0.002328,0.002001,trees,0.552022,1,2,2,3,3,150.878,164.359,Wildfire / Natural Fire
demo_000426,synthetic_demo,True,31.07433,72.114852,2026-08-16T02:42:00,VIIRS,MODIS,31.056,331.617,89.81,1.306,0.856,D,none,944.18,0.0694,342.61,0.034435,0.205655,0.126102,0.008477,0.36196,0.016835,0.015181,0.231079,0.000277,crops,0.36196,1,2,3,2,2,26.673,31.056,Agricultural Fire
demo_000395,synthetic_demo,True,23.796852,78.252052,2026-05-20T00:52:00,VIIRS,VIIRS,48.49,338.455,70.85,0.649,1.706,N,forest,1149.01,0.114,418.4,0.080483,0.362667,0.128587,3e-06,0.015483,0.174539,0.030508,0.207709,2.2e-05,trees,0.362667,2,4,8,8,8,36.513,48.49,Wildfire / Natural Fire
demo_000374,synthetic_demo,True,23.855319,78.35576,2026-08-22T09:10:00,MODIS,MODIS,70.912,333.026,92.87,1.101,0.414,N,water,4234.71,0.0043,1110.17,0.091462,0.405684,0.169476,0.001476,0.00038,0.244787,0.086373,0.000359,4e-06,trees,0.405684,1,2,3,4,4,52.498,79.144,Wildfire / Natural Fire
demo_000729,synthetic_demo,True,23.156115,86.485204,2026-03-14T21:21:00,VIIRS,VIIRS,122.871,338.565,95.84,0.53,1.317,D,farm,108.22,0.9211,1409.63,0.076915,0.015359,0.00083,0.057933,0.0,8.7e-05,0.702971,0.143644,0.00226,built,0.702971,52,221,406,339,339,94.625,148.065,Persistent Thermal Source
demo_000130,synthetic_demo,True,18.620863,75.779431,2026-07-25T16:50:00,MODIS,MODIS,97.13,326.572,72.21,1.054,0.826,D,forest,367.16,0.6934,1049.46,0.242009,0.021999,0.008597,1.3e-05,0.000561,0.000105,0.598694,0.128022,0.0,built,0.598694,4,6,7,11,11,98.391,161.25,Industrial Fire
demo_000929,synthetic_demo,True,24.977225,70.218244,2026-06-14T11:42:00,VIIRS,MODIS,24.449,316.189,58.09,1.197,2.157,D,industrial,3766.3,0.0865,2379.37,0.109028,0.1491,0.21649,0.000748,0.014509,0.155859,7e-05,0.350203,0.003993,bare,0.350203,1,1,2,2,2,23.035,28.853,Unknown / Other
demo_000476,synthetic_demo,True,30.708454,76.451701,2026-04-24T01:03:00,MODIS,VIIRS,13.272,321.483,96.4,1.492,1.655,N,industrial,1336.11,0.123,1542.25,0.007374,0.209026,0.00925,0.048875,0.366838,0.196342,0.010806,0.151488,0.0,crops,0.366838,1,1,1,1,1,13.183,16.01,Agricultural Fire
demo_000943,synthetic_demo,True,26.225133,69.983733,2026-02-12T16:02:00,VIIRS,MODIS,13.02,319.824,84.52,1.283,1.432,D,forest,3083.64,0.2123,952.66,0.014209,0.288426,0.033357,0.089802,0.021578,0.149789,0.023267,0.379572,0.0,bare,0.379572,1,5,6,7,7,10.391,15.781,Unknown / Other
demo_000362,synthetic_demo,True,22.470713,74.623653,2026-06-29T19:53:00,VIIRS,VIIRS,261.606,341.35,93.71,1.756,1.583,N,warehouse,1639.92,0.1049,754.55,0.236076,0.470138,0.160428,0.002625,0.005615,0.101243,0.002853,0.021021,2e-06,trees,0.470138,1,2,3,5,5,221.017,266.503,Wildfire / Natural Fire
demo_000440,synthetic_demo,True,29.680653,76.163849,2026-08-21T01:26:00,MODIS,MODIS,39.02,327.739,69.52,0.842,1.234,D,none,1481.38,0.2529,2028.91,0.155365,0.000506,0.083902,0.014059,0.603104,0.010489,0.005544,0.091094,0.035939,crops,0.603104,1,3,5,4,4,38.034,56.268,Agricultural Fire
demo_000185,synthetic_demo,True,19.36835,70.686164,2026-03-20T17:16:00,VIIRS,MODIS,112.402,351.447,71.43,0.81,1.505,D,forest,25.6,0.8702,1399.83,0.036072,0.02493,0.108356,0.050857,0.0327,0.000783,0.424158,0.322131,1.1e-05,built,0.424158,2,6,11,9,9,103.82,112.877,Industrial Fire
demo_000587,synthetic_demo,True,30.658032,73.200583,2026-01-12T02:00:00,MODIS,MODIS,63.569,311.425,69.3,1.765,2.122,N,,731.6,0.2276,1450.3,0.052125,0.0047,0.074246,0.004706,0.584935,0.095819,0.017672,0.165798,0.0,crops,0.584935,1,2,3,4,4,51.664,63.569,Agricultural Fire
demo_000983,synthetic_demo,True,26.550419,73.873131,2026-03-09T13:22:00,VIIRS,VIIRS,4.39,319.568,71.8,1.654,1.08,D,industrial,3249.93,0.115,241.18,0.055772,0.141671,0.043367,0.00328,0.012202,0.120097,0.132861,0.488901,0.001849,bare,0.488901,4,6,10,10,10,3.715,4.862,Unknown / Other
demo_000420,synthetic_demo,True,29.555999,75.819228,2026-03-31T05:38:00,VIIRS,MODIS,37.242,323.715,64.63,1.333,1.203,D,farm,1234.15,0.0597,496.54,0.020744,0.072919,0.024582,0.009155,0.606125,0.003416,0.065306,0.197754,0.0,crops,0.606125,1,1,1,1,1,28.441,37.242,Agricultural Fire
demo_000742,synthetic_demo,True,24.137763,86.897328,2026-04-06T01:48:00,MODIS,VIIRS,65.295,337.611,87.03,0.847,1.977,D,farm,614.11,0.8999,3059.83,0.191651,0.080025,0.164869,0.002599,8e-06,4e-06,0.344098,0.216715,3e-05,built,0.344098,137,299,554,619,619,67.93,85.167,Persistent Thermal Source
demo_000365,synthetic_demo,True,21.731778,75.631161,2026-07-21T01:39:00,VIIRS,MODIS,365.095,354.453,71.65,0.359,2.136,D,warehouse,2157.93,0.0076,1161.87,0.101028,0.45748,0.097478,0.055042,0.009483,0.222756,8.2e-05,0.05665,0.0,trees,0.45748,1,4,10,10,10,304.975,398.705,Wildfire / Natural Fire
